별점,날짜,리뷰
4.0,2026.04.07.,"감자국 일반 12,000원

양이 진짜 많아요. 살코기를 꼼꼼히 안 발라 먹어도 배부를 정도의 양이라 좋았어요.
아, 근데..."
4.0,2026.03.30.,"성수동 핫플 거리에서, 가장 줄이 길게 서있는 집 중 하나 입니다. 회전율이 좋아서, 생각보다 금방 들어가고요, 외국인 방문객이 많습니다.

""감자탕""이, 한국 사람..."
5.0,2026.03.29.,"새벽에 혼자 가면 바로 입장 가능 및 주자 쉬움
고기 실하고 맛있어요. 원물 자체가 좋아 야들야들한데 뼈는 상당히 분리가 다른집에 비해 힘듦 /국물이 슴슴하지만 깊고 진한편임"
5.0,2026.02.17.,"후기가 낮아서 걱정 많이 했는데 친구랑 풀꾸 100의 모습에서 결국 못참고 손으로 뜯고 맛있게 먹었습니다
특히 살이 진짜 부드러워서 좋았어요"
5.0,2026.01.26.,"줄서서 먹을줄 몰랐는데 어쩌다보니 줄서서 먹게된 집. 생각보다 줄은 빨리 빠지는 편이고, 명불허전. 맛있는 감자탕이에요. 고기가 정말 보들보들하고 양도 많아요! 워낙 바빠서 살짝 번잡스러울수 있어 분위기보다는 맛으로 방문할 곳입니다."
1.0,2026.01.25.,"성수감자탕, 예전엔 진한 국물 맛으로 자주 찾던 곳이었는데… 이제는 그 맛의 흔적조차 찾기 힘들다. 국물은 밍밍하고 고기엔 정성..."
4.0,2025.12.06.,맛도 좋고 가격도 적당합니다.
1.0,2025.12.05.,다시는 안갈래요. 친구랑 갔는데 직원 한 분 응대하는 태도가 너무너무 무안하고 기분 나빴어요. 감자국이랑 감자탕 중에 뭐 시킬지 고민하는중에 직원 한 분이 빨리 시키라는 식으로 재촉하고... 아직 시키지도 않았는데 n번 테이블 잘못나왔잖아~ 면박...
3.0,2025.11.29.,"뭐..그저그럼
""이정도의 맛도 안나면 감자탕이라 부를 수 없다""의 이정도에서 한단계 위를 맡고 계십니다"
1.0,2025.11.17.,"계산하는 할머니 직원 싸가지가 없어요;;; 외국 직원들은 친절했는데
맛은 무난"
3.0,2025.11.09.,기본적으로 감자탕이라 맛없기 힘들긴 합니다. 테이블 간격도 좁은데 손님이 많아 직원분들이 계속 정신없이 다니다보니 어수선한 분위기가 있습니다.
1.0,2025.11.08.,"돈과 시간 아까웠습니다.😡
맛집으로 소문난 곳이라 남자친구가 궁금해해서 웨이팅하고 갔습니다. 들어가자마자 빨리들어가라고 직원분이 손으로 계속 등을 미셔서 기분이 안좋았습니다. 주방 앞 좁은 길목에서 앞사람이랑 마주쳐..."
2.0,2025.10.30.,"다행히 새벽에 들어감..
줄서는 사람들이 이해되지 않음.."
4.0,2025.09.20.,대기는 외부 대기석에서부터 선입선출 방식이고 생각보다 회전률 좋아요. 맛은 평타이고 고기는 매우 연합니다. 손님이 많아도 접객은 보통 음식점 수준이었고 특별히 불친절하거나 그런 건 못느꼈습니다. 서울에 유...
2.0,2025.09.12.,유명해서 유명한 집. 시골쥐 칭구가 꼭 먹어보고 싶다해서 어쩔수없이 왔으나 기대를 내려놨어도 기대 이하인... 관광객이 더 많은 식당. 공깃밥이 너무 오래된 밥 같았어요 밥돌이는 슬펐습니다.
4.0,2025.09.06.,"줄서서 먹을 필요는 없고 
그냥 밤에 마실 나가면 그때는 사람이 없음 
그때 한번 먹어보는걸 추천드려요 
..."
1.0,2025.09.05.,"최근에 집 근처에 있는 감자탕집을 방문했는데, 솔직히 말해서 음식 맛보다도 서비스 때문에 다시는 가고 싶지 않은 경험을 했습니다. 저는 보통 웬만한 음식점에서는 서비스에 크게 예민하..."
1.0,2025.09.04.,"정말 불친절했어요. 
저희가 물티슈를 부탁했는데 저희 쪽으로 던지더라고요. 
제가 돈을 내고 밥을 먹으러 갔는데 마치 구걸하는 것처럼 느껴졌어요."
3.0,2025.08.16.,"우거지 곱-비린내 안나고 소스는 시장 소스랑 맛이 같고 안어울림.
감자탕을 안먹어봐서 잘은 모르겠는데 다음에 오지는 않을것 같다."
4.0,2025.08.16.,"부족함 없이 무난한 맛 이었요, 웨이팅 없이 바로 들어갔고 바빠보이셨지만 친절하게 응대해주셨어요🤠"
3.0,2025.08.07.,성수 돌아다닐 때마다 항상 웨이팅 줄이 있길래 가봤습니다. 평일 오전에 줄 안서고 바로 들어갔어요. 근데 들어가기 전에 뭐먹을지 상의하고 들어가시길~ 앉자마자 바로 물어보는데 재...
3.0,2025.08.04.,주말 2시 반쯤 애매한 시간에 갔더니 대기 거의 없었어요 별관도 있어서 줄 금방 빠지더라구요 맛은 매우 무난해요ㅋㅋㅋ 순한 감자탕... 진하거나 감칠맛이 있는 것도 아니고 그렇다고 못 먹을 밍밍한 것도 아니고... 맛으로만 따지면 다른 감자탕집 미만인거 같기도?🤔
2.0,2025.08.04.,"1인분 뚝배기 뼈해장국인 아닌 소중대 냄비 감자탕
살점이 실하지 않다
국물에 목숨을 건 육수충 입에 국물은 별 ..."
1.0,2025.07.20.,"후기들보면 맛있다던데....맛있다던데....?? 이상하다......

위생이 더러워요 << 그릇이나 수저랑 화장실..."
1.0,2025.07.07.,뼈도 잘 안발려요
1.0,2025.07.06.,"식기 물통 너무 더럽다
그리고 주문하자 바로 나오는 공장처럼 나오니깐
간이 개맛없음 다신 안갈듯"
3.0,2025.07.05.,"맛있음 간도 안 세고 삼삼한 편
같이 나오는 양념장이랑 김치도 맛있는 편인데
사람이 많아서..."
1.0,2025.06.19.,"토요일 저녁 방문 후기 (재방문의사 없음)
1. 웨이팅 3분 만에 입장
2. 맛은 있는데 호들갑 떨정도로 맛있..."
3.0,2025.06.12.,"여기 리뷰들만큼 최악은 아닌데, 웨이팅까지 해서 먹을 가치는 없는 맛. 너무 싱겁고, 전형적인 관광객 타겟 비주얼만 얼큰한 맛이라 의아했음.
헛소문도 소문이긴 하죠 뭐."
1.0,2025.04.29.,"감자탕은 덜 고아서 고기가 뼈에서 떨어지지 않고
우거지는 딱 서너조각만 들어있고
최악은 볶음밥인데 돈내고 먹기 화나는맛.
참기름 너무 많이 뿌리고 생 깻잎 넣으시더니...이렇게..."
2.0,2025.04.28.,진짜별로다 예전에도 별로여서 안가다가 줄이길어서 오랜만에 갔는데 가격은오르고 예전보다 더 별로임. 예전엔 살도많고 감자도많고 성수치고 많이비싸지않아 가성비라도 있었음.  동네감자탕집 아무데나가도 이...
5.0,2025.04.25.,저는 대박요 넘 맛남
5.0,2025.04.21.,와보시면 압니다;
4.0,2025.03.24.,"very tasty! cook quickly! fresh products. had to wait in line even if lunch time had already passed. but the taste of the food was worth it, recommend visiting 🙂"
1.0,2025.03.23.,"밍숭맹숭하고 수돗물 맛 나는 것 같은 국물..
그다지 부드럽지도 않은 고기
찍어먹는 양념도 어울리지 ..."
3.0,2025.03.18.,"무난하다
줄설 정도는 아니며
가끔 고기도 퍽퍽한 부위가 있음
국물도 약간 싱..."
5.0,2025.02.28.,"감자탕 맛있어요.~~~ 굿굿~~~
맛있어서 뼈추가 했어요.~~

수..."
2.0,2025.02.22.,"이걸 기다려서 먹을 정도는 진짜 아닌 듯..
웨이팅 없어도 실망스러운 맛
볶음밥은 맛없었고 ..."
2.0,2025.02.07.,줄 서지 마세요...
4.0,2025.02.05.,고기가 부드러고 살이 많음 국물도 맛있어요!! 다만 앞접시 3개에 고춧가루가 다 묻어있어서 휴지로 따로 닦음.. 쩝 웨이팅 없는 시간에만 가서 먹긴하는데 웨이팅해서 먹으라몀 고민할 듯
3.0,2025.02.05.,애벌레가 나온다는건 신선하다는걸까
5.0,2025.02.04.,"자극적이지 않아서 계속 땡기는 맛
시끌버쩍해서 뭔가 에너지 받는 👍🏻"
5.0,2025.02.02.,"가격 대비 양 많습니다. 맛있구요. 
제가 왔을땐 관광객분들도 많이 오시더라구요."
4.0,2025.01.05.,객관적으로 딱 맛으로만 본다면 엄청 특별한건 아니지만 꽤 괜찮아요. msg 때려넣은 자극적인 맛이 아니라 나름의 내공이 있는 무난한 맛? 웨이팅도 15분정도 했고 회전율이 빨라서 기다릴만해요. 위생은 흐린눈 좀 하셔야겠지만 이정도 가격에 맛이면 만족합니다.
3.0,2024.12.30.,저는 비위가 약한 편은 아니었는데 주신 컵에 고춧가루가 묻어있었구 (친구 비위 상할까봐 몰래 얼른 닦아서 사진은 못 찍었어요) 맛은 그냥 괜찮다 정도..? 근처 지나가면 웨이팅 많이 하던데 기다릴 정도로 특별한 맛은 아닙니다
3.0,2024.12.28.,"감자탕 소짜 하나에 뼈 5개 정도
양은 적다는 생각은 안 들었고, 
맛은 다른 감자탕 집보다 슴슴하고 단백한 ..."
4.0,2024.12.24.,혼밥 테이블이 따로 있어서 웨이팅 길어도 바로 자리 안내 받을 수 있어용
3.0,2024.12.01.,"무난한 감자탕. 맛이 없다는 것은 아니나 이정도의
웨이팅이 이해가지 않는다. 찾아올 정도는 절대 아닌 곳."
2.0,2024.11.15.,맛은 평범. 가성비는 별로. 고기는 부드럽지만 줄서서 먹는게 이해 안됨. 줄 서있는 사람 반 이상이 중국인임. 웨이팅 문제는 이 집의 문제가 아니기 때문에 2점줌
4.0,2024.11.14.,"고기 부드럽고 잡내 없이 맛있습니다. 국물도 간 적당하고 맛나네요. 다만 요즘 핫한 동네이고 인근에 비슷한 집이 없어 좀 더 대기가 긴 것 아닌가 싶습니다. 동네나 평소 동선상의 뻐해장국집들과 비교시 조금 더 낫다 싶은 정도이고, 제게는 오래 줄 서서 먹을 정도는 아닌 듯 합니다."
3.0,2024.11.07.,"맛이 특별히 좋다던가 색다른건 없고
양이 많지도 가격이 저렴하지도 친절하지도 않음
굳이 여길..?"
4.0,2024.10.24.,"근처 갈 때마다 항상 줄 서있길래
신기해서, 줄 40분 가량 서서 입장했는데
✅ 유명한걸로  유명한 곳 ..."
3.0,2024.10.20.,"- 곱빼기 13,000원
- 혼자서 먹는 자리가 있어 1인은 금방 먹음
- 진득한 맛이 날 줄 알았는데 국물이 너무 밍밍했음. 곱빼기 시켜서 양은..."
5.0,2024.10.17.,감자탕 살이 어쩜 이렇게 쫄깃쫄깃하지...? 깜짝 놀랐어요... 넘 맛남...
5.0,2024.09.29.,"핫소스 팝업 보고 성수감자탕 코스 댕겨왔는데 먹는 사람도 먹는 사람이지만,,, 포장하는 사람 짱많아서 ㄹㅇ 맛집이구나 함. 카카오맵 레벨 올리려구 기억 끄집어내서 쓰는데 맛있었던 것 같당"
4.0,2024.09.28.,4번? 정도 다녀온 곳인데 갈때마다 맛있긴 해요
4.0,2024.09.01.,또또또또또간집 수제비 꼭 추가해서 드세요!! 쫀득 웨이팅이 너무 길어서 이정도의 대기할만큼은 아니라고 생각할 수도 있는데 저는 입맛에 젤 잘맞아서 기다려서 먹어요🥺 대기가 부담스러우면 포장해서 드셔보시는걸 추천드립니다아
2.0,2024.08.18.,기대보다는 별로였습니다.
1.0,2024.08.14.,"맛은 그냥 그럼, 불친절, 음식 미지근함, 화장실 물어보거나 뭐 달라하면 이모님들이 혼냄 ㅠ
소문이 안좋은 소문인가??"
2.0,2024.08.04.,"뚝배기를 가득채우는 뼈다귀지만
발골이 쉽지않다
들깨가루의 고소함과 등뼈기름이 우러나온 국..."
3.0,2024.06.08.,토요일 오전 11:30쯤 가니까 웨이팅 5분 정도 대기 하다가 들어갔어요. 맛은 그냥 평범한거 같아요 굳이 웨이팅 하면서까지 먹을정도는 아닌거 같아요. 수제비 맛있어요.
5.0,2024.06.07.,성수동에 갈때마다 웨이팅 30분은 기본이지만 주차도 되고 친절해서 자주 가는 곳이예요. ^^
4.0,2024.05.31.,줄서서 먹었는데 원래 잘가던 감자탕집 보다 못했어요 볶음밥도 감자탕국물에 김가루.깻잎만 넣어서 오히려 맨밥보다 맛이 없었습니다.
5.0,2024.05.29.,"심하게 맛있다. 
국물이 어릴적 아빠 손잡고 가서 먹은
수유의 마포감자국집 맛이 비슷하게 났다.
소..."
5.0,2024.05.13.,"맛나게 먹었어요..
소문났더라구요~"
1.0,2024.05.13.,줄 서서 기다리다가 먹기에는 너무너무너무 내 시간이 아까운 곳.. 간도 좀 안 맞고 다들 바쁘셔서 불친절하시고.. 깨끗하지도 않고... ㅠㅠ
5.0,2024.05.08.,"2024.04.28
감자국
4번째 방문.
일욜 오후 9시에..."
5.0,2024.05.03.,"1. 평일 오후 3시에 갔는데 웨이팅 있어서 깜짝
2. 외국인이 많이 찾음
3. 손님 순환이 빨라서 그런지 감자탕도 빨리나옴
4...."
1.0,2024.05.01.,진짜 맛없음 그냥 집 앞 뼈해장국 집이 더 맛있는 듯. 줄 서서 먹었는데 먹고 시간버리고 돈 버리고 후회했음
2.0,2024.05.01.,"글쎄...왜 소문난걸까 왜 대기줄이 길까
맛이가 없다..."
4.0,2024.04.17.,"한번 먹고 바로 감탄할 맛을 찾기 위한 곳은 아니고, '기본적인 퀄리티를 유지하면서 매번 동일한 맛을 내는 게 얼마나 어려운 줄 아냐'라는 관점을 가지고 가볼 만한 곳. 근데 사람이 많으니 자주 갈 수는 없겠구만"
3.0,2024.04.14.,무난한 맛. 왜 유명한진 모르겠으나 회전율 빠르고 이모님들이 친절하심
4.0,2024.03.21.,"맛있긴 한데 사람이 많아 엄청 북적임(시끄러운데서 먹기 힘들어 하면 별로일듯)
웨이팅이 있지만 빨리 빠..."
5.0,2024.03.18.,대한민국 감자탕 1티어
5.0,2024.03.08.,"알차고 실하고 냄새안나고 푸짐한 성수감자탕맛집이요-!! (수제비 너무 맛나요)
20231205 방문"
3.0,2024.03.08.,"3.5 / 5점
가격 맛 좋습니다. 근데 웨이팅할정도는 아님.."
5.0,2024.03.06.,안짜고 딱 좋았어요ㅎㅎ
3.0,2024.03.01.,쏘쏘
3.0,2024.02.25.,성수 맛집이라고 해서 아침 일찍가서 먹어봤는데 제 입맛에는 국물 심심하고 고기 퍽퍽한 편이에요~ 뚝배기 주문 하지 않고 감자탕 대로 주문 했는데 4명이서 먹기에 양은 푸짐했습니다. 이 집 점심 & 저녁...
4.0,2024.02.04.,명성에 비해서 아쉽다... 맛있긴 하지만 그 정도까지야?
5.0,2024.01.31.,"진작 갈껄 ㅠㅠ
지나다니면서 웰케 줄이 길지 했는데 다 이유가 있었어요. 

맛..."
2.0,2024.01.20.,"맛도 걍 그렇고… 맛이 없는 쪽에 가깝고… 그렇다고 가성비 있지도 않고…
분위기도 별로 친절도 그닥… 왜 줄 서서 먹는 건지 의문"
4.0,2024.01.20.,"크리스마스 당일 한창 점심시간에 방문해서 꽤나 줄이 길었음에도 50분 좀 넘는 웨이팅 끝에 들어갈 수 있었습니다. 가게가 넓고 회전율이 빨라 생각보다 웨이팅 줄은 빠르게 줄어요. 개인적으로 감자탕 국물이 너무 맑은, 가벼운 느낌을 좋..."
3.0,2023.12.24.,"1시간 웨이팅할건 아니듯.
맛은 있는데, 추운계절이나 더운 계절에
웨이팅..??? 과연.."
5.0,2023.12.23.,감자탕 인생음식인데 여기서 제 운명적인 감자탕을 만났습니다 ㅋㅋ 진짜 완전 맛있어요  부드러운 고기에 자극적이지 않은 맛있데 어쩜 이렇게 맛있는지 ㅋㅋㅋ 줄서서 먹을만 합니다ㅕ
2.0,2023.12.16.,"흠.. 궁금해서 줄서서 먹어봤지만!
웨이팅 해서 먹을정도는 아닙니다..* ㅎ 특별한 맛은없어요. 맛도 슴슴하고 양도 적고 원래 감자탕은 어딜가나 맛있으니까 딱 그냥 그정..."
4.0,2023.12.11.,맛있어요! 근데 그 어마무시한 줄을 서서 먹을 정도는 아니고... 포장을 추천합니다....ㅋㅋ 사진은 포장해서 먹은거에요. 나름 성수동에서 주차도 가능한 식당이긴 한데... 줄이 너무 길어요 ㅋㅋㅋㅋ
3.0,2023.12.06.,맛있어요 혼밥자리 따로 있고 고추 땡기는 뼈해장국
4.0,2023.11.20.,"밤에가도 웨이팅있어서 신기했습니다
감자탕 소자에 라면사리추가했습니다. 양 정말 많은데 직원이 부족해서 집게와가위달라고4번말씀드려야 받을수있었어요 떨어지는서비스입니다. 음식맛은 맛있었고 무엇보다 고..."
4.0,2023.11.17.,식사는 그냥 맛좋은 감자탕이었다 !
3.0,2023.11.09.,"너무 맛있어서 다른 감자탕은 생각도 안남 근데 웨이팅이 있고 감자탕보다는 감자국 먹는게 훨 이득인 것 같아요!

평점 수정..."
3.0,2023.10.23.,맛이 좀 밍밍해요..
4.0,2023.10.08.,두번 말할 필요 없음
1.0,2023.10.03.,"맛은 평범했지만, 뼈에 붙은 고기양은 너무 적어서 비싸게 느껴졌고, 주인장과 종업원들은 매우 불친절했어요.
<고기가 퍽퍽하고 차가워요, 국물도 전혀 우..."
1.0,2023.09.06.,"절대 비추!!
별관에서 먹었는데..진짜진짜 불친절합니다
키큰 단발머리 아주머니..외국인손님이 앞접시달라고 요청하니 소리치고 화내고 ..."
3.0,2023.09.05.,"소문 확인 차 혼자 들러서 전골 소 씩씩하게 먹어봤는데
여기 손님 엄청 많더라구요.
이동네 감자탕집이 여기 ..."
1.0,2023.09.02.,지나다닐 때마다 줄이 길어서 맛집인 줄 알고 기대를 했으나 매우 실망도르
1.0,2023.08.26.,"생방송투데이 top5 1,2 위던데... 결론은 일반적인 뼈해장국 정도.  /다른 맛있는 곳에 비해 1.약간 고기 냄새 있고, 2. 뼈 분리 용이치 않고 3. 우거지는 따로 끓여져 맛이 따로 4.혼잡해 약간 시끄럽고...    외국인도 많던데 안타깝네요. 한국의 이름난 음식점 기대치가 있을텐데..."
5.0,2023.08.15.,맛깄긴 함. 직원분들도 친절하긴 한데 위생엔 문제 많아서 가기 전에 망설이게 되는 게 흠.
2.0,2023.08.01.,"위생은 별로인줄 알았는데 다른분들 리뷰보니 생각보다 더 아닌 것 같아 별점 3개 드려료…
웨이팅 많아보여도 빨리 빠지고 나쁘지 않았는데ㅠ 위생이 너무 eva ? 그걸 감수하고 먹을 맛은 아님"
5.0,2023.07.28.,"맛있고요 감자탕 최고 ㅋㅋ
일단 볶음밥은 당영히"
4.0,2023.06.22.,우거지 많아서 좋음
1.0,2023.06.22.,맛은 보통인대 너무 불친절함. 불러도 아무말도안함
3.0,2023.05.24.,개인적으로 맛은있으나 줄서서 감자탕먹기는 좀 그렇지않습니까 주위에 먹을게얼마나많은데!
4.0,2023.05.09.,"맛집이라 대기 했지만 생각보다 빨리 들어감. 맛은 깔끔하고, 고기는 싱싱하고, 간도 심심하니 좋더라구요."
4.0,2023.05.01.,1인 좌석 회전율 너무 안 좋지만 맛은 괜찮아요
3.0,2023.04.27.,고기 야들야들 하고 맛은 있는데 제 입맛에는 살짝 싱거웠어요! 완전 자극적인 감자탕이 입에 맛으시면 좀 심심할수도...? 오이나 고추 싱싱해서 좋았고요 별 하나 뺀 이유는 좀 소란스럽고 응대가 바쁘다보니 그닥 친절한 느낌...
3.0,2023.02.26.,"‼️웨이팅할때 앞사람 누군지 꼭 기억해두고 서세요..‼️
30분 줄 서고 별관으로 가라고 안내 받아서 가고 있는데 갑자기 어떤 분들이 나타나더니 줄도 안 서고 별관으로 슥 들어가네요;; 일부러 ..."
1.0,2023.02.14.,"일단 맛도 없고 불친절까지 환장의 콜라보
맹하고 싱겁고 고기마저 퍽퍽해요
벨 눌러도 오지도 않아서 3번은..."
2.0,2023.02.11.,"맛은 그냥 감자탕맛이에요 금요일저녁에갔는데 웨이팅했어요
수제비사리추가하면 직접 떠서 넣어주세요
인원다와야..."
4.0,2022.12.08.,맛이 매운거못먹는사람 좋아하더라구요.
1.0,2022.11.15.,이런 후기 잘 안 남기는데 위생이 정말 최악이에요.. 식기에도 설거지 안된 음식 말라 붙어 있어서 바꿔 달라고 하고 손님용 앞치마에도 감자국물 얼룩 다 묻어 있고 의자에도 음식 다 떨어져 있고 들어가니 테이블도 축축한 행...
4.0,2022.11.13.,"맛있습니다요ㅎ 
분위기도 좋고 종업원분들은 바쁘실때
이해합니다!!"
1.0,2022.10.19.,"감자탕 쏘쏘
서비스 개똥망
여기왜 장사 잘됨?
..."
1.0,2022.10.17.,"손님오기전에 상을 닦지만 고춧가루가 여기저기 묻어있음. 다시 닦아달라해도 기다리라면서 안닦아줌. 접시에도 밥풀 붙어있고 의자에도 음식물 묻어있음. 감자탕 나오고 몇분 지나야 반찬 세팅해주고, 휴지 다 떨어져서 달..."
1.0,2022.10.16.,"바쁘셔서 바닥이 더러운건 알겠는데 테이블 한번 더 닦으니까 그대로 묻어나고 맛도 줄 설 만큼의 맛은 아닌거같네요 
어차피 장사 잘되니까 지금처럼 하시겠지만 나중엔 모르겠네요"
4.0,2022.10.09.,"평일 낮이라 대기없이 바로입장 우거지들은걸로 먹었는데 만원이라는 가격에 뼈가 이렇게 푸짐하다니 양이 엄청나요
맛은 흔히 먹는 맛있는 감자탕맛이었어요"
4.0,2022.08.28.,"여기 맛없다고 하는 후기올린 분들은
도대체 평소에 뭐 드시고 사실지 궁금합니다.
살면서 먹어본 감자탕중에 ..."
2.0,2022.08.15.,"너무 기대를 하고 가서 그런지,, 맛은 솔직히 그냥 그랫구요 그리고 쫌 싱겁구 그리고 사람이 엄청 많아서 직원들 아줌마,,? 쫌 싸가지가 없었습니다 사람이 많아서 바쁜거는 이해하지만 먹다가 보면 이것저것 시킬수 있는데 한번에 안시킨건 ..."
1.0,2022.07.19.,"서비스부터 최악이고 진짜 너무 불친절합니다.
먹는 도중 벌레가 나와서 직원분한테 말씀드렸더니 죄송하다는 말도 없고 계속 그럼 제가 뭐 어떻게 할까요 아 그냥 매니저 불러올게요 이렇게 짜증내는 식으로 말하고 솔직히..."
1.0,2022.07.03.,"불친절, 위생 밑에 후기 내용 다 맞아요. 
너무 불친절해서 밥 먹기 전부터 기분 나빳어요.
벨누르고 불러도 관심도 없고 음식 나올때 자리..."
1.0,2022.06.25.,위생적으로도 별로구...맛도 너무 아니올시다. 일하시는 이모들도 정신없으니 기계적으로대답하고 어쩔수없이하는 느낌...
1.0,2022.06.23.,진짜 장사를 하시겠다는건지... 별관 아주머니가 자기 마음에 안드신다고 소주 던지고 가네여 이런식으로 장사하시면 얼마나 할지 모르겠네요 맛평가에 앞서 서비스 최악입니다
4.0,2022.06.04.,"완전 푸짐하고 맛있어요.
회전율도 빠른 편."
4.0,2022.06.01.,"맵고짠 자극적인 감자탕은 아니고, 삼삼하고 담백해서 후루룩 들어가는 감자탕임. (매우 호!!!!) 

해장국(감자국 이라고 부름)에 보통 감자 안 넣어 주는데, 여긴 감자도 한두..."
2.0,2022.06.01.,일반인데 양많음 굳이 먼데까지 올 필요없고 웨이팅할 필요성없다
3.0,2022.05.31.,good : 다른 감자탕집보다 고기가 더 부드럽고 고기가 많이 붙어 있다. 맥주가 엄청 시원하다. 손님이 많아서 맥주 회전율때문에 미지근할만한데 얼음장같이 차...
1.0,2022.05.24.,맹탕 같아요
3.0,2022.05.20.,고기는 부드럽고 맛있는데 국물은 짜고 냄새남.. 줄 없을 때라 먹었지 줄 설 맛은 아닌 듯. 워낙 바쁘고 정신없으니 그럴테지만 친절없음.
4.0,2022.04.06.,이 정도의 줄을 서야하는진 모르겠지만 그래도 개성  있는 감자탕
5.0,2022.03.20.,맛만 좋구만... 왤케 혹평이 많죠...??
3.0,2022.01.13.,"줄서서 먹을 정도는 아닌..
무난한 감자탕 맛"
4.0,2022.01.02.,"깻잎향의 깨끗한 맛.
고기도 부드럽고 볶음밥 역시 고소한 맛으로 괜찮았어요. 성수 근처에 있는 분들은 캐주얼하게 가보셔도 좋을듯. 가성비 맛집은 아님. 이미..."
1.0,2021.12.14.,"너무 가게가 더러워요.
수저통 안에서 수저 5개 꺼냈는데
밥풀 붙은 수저만 3개 나왔네요.
먹기 전부터 비위..."
3.0,2021.10.28.,그렇게 기다려서 먹을 정도는 아니지만 기본은 하는 감자탕 맛. 백점짜리는 아니지만 딱히 형편없지는 않은 서비스. 터무니없는 수준은 아니지만 좀 비싼 느낌의 가격. 전체적으로 평타이상.
1.0,2021.10.27.,"머리카락 나옴....
주차장이랑 연결되어 있어서 차량 매연이 가게 안으로 다들어옴.
노포집이 아닌데도 불구하고 청결하지 못함
맛..."
4.0,2021.10.22.,냄새 안나고 그냥 깔끔한 맛 그렇게 맛집인건 모르겠음..?
5.0,2021.09.14.,"1인석 따로 있으며 저녁에도 식사 메뉴 가능합니다!! 
원래 먹으려 했던 뼈해장국 집이 점심특선이라.. 추천받아서 가게 됬는데 만족..."
4.0,2021.07.31.,마시땅 딱 주민맛집 사람 짱많아영
2.0,2021.07.19.,"생각보다 흔한 감자탕 맛이욤.
맛이 없는건 아닌데 특별한 맛은 모르겠는 맛. 
창가에 앉았는데 창문을 열어둬서 외부 공기 들어와서 더웠고요.
계산 하면..."
1.0,2021.07.18.,"SBS방영 맛집이라 갔다가, 최악을 경험했습니다. 홀 가운데에 얇은 칸막이 바로 뒤, 좌측으로 연결된 식품창고  및 우..."
4.0,2021.05.11.,"맛있고 고기도 많이줘요
근데 발라먹기 귀찮고 좀 정신없어서 안가게돼요"
4.0,2021.04.16.,맛도 대박 양도 푸짐
3.0,2021.04.04.,엄청 줄을 서기에 궁금해서 방문했습니다. 고기가 실하기는 한데 부드럽지 않고 좀 퍽퍽했습니다. 양념장이 독특한데 맛있었어요.
4.0,2021.01.29.,"자주 가긴했는데 감자탕은 한 번도 안먹어보고 식사메뉴(감자국)만 늘 먹었음.

어떨..."
1.0,2020.09.29.,사람 많이 오니까 종업원 서비스 같은거 신경 안써도 돈 잘버실듯
1.0,2020.09.24.,솔직히 맛잇는거 1도모르겟다;;;;
2.0,2020.08.09.,주변에 늦은시간까지 영업하는 곳이 없어 들리는 가게. 이 곳에서만 느낄 수 있는 맛이 아닌 평범 무난한 맛.
4.0,2020.08.07.,"맛있는데..
앉기도 전에 주문하라고 몇번을 재촉하셔서 별하나 뺐어요"
1.0,2020.07.25.,"고기도 맛있지않고 양은많아보이는데 실제로 뼈가 더많았고 뭐그렇게 줄서먹을만큼의 메리트없는 그냥그저그런맛.. 김치가맛있는것도아님
그리고 우거지도 정확히 세개 들어있었고 감자 한개반,, 이외의 건더기는..."
4.0,2020.07.01.,"감자탕 맛은 핵 인정
공간이 불편하고 대기가 길다는거 아쉽"
4.0,2020.04.30.,"고기양 아주 좋고 가격 착하고
다시한번 와볼만한집"
1.0,2020.03.02.,"감자탕 맛있게 잘 먹었습니다만.!!!!!!
먹다가 굉장히 황당한 일을 겪었습니다.
젓가락질을 하던 오른손에서 젓가락의 쇠가루(?)가 묻어 있는 거..."
4.0,2020.01.13.,국물도 순해서 조미료맛이 덜 납니다. 뼈 분리가 안되는 단점이 있지만 손으로 직접 떼어주는 수제비!! 수제비 맛집입니다. 밥보다는 수제비 강추. 포장도 해갔는데 깍뚜기에 소스까지 포장해주셔서 절 막었습니다. 아쉽다면 그 넓은 곳에 화장실에 작다는 것!!
5.0,2019.11.13.,퇴근길 냄새에 이끌려 들어갑니다.. 고기 살이 너무 많아서 발라먹다 지쳐여..
3.0,2019.06.12.,사람이 많고 회전은 빠르지만 위생은 좀 안 좋은 것 같다
4.0,2018.12.17.,2016년 6월25일 SBS 백종원의 3대천황에 방영된 감자탕 맛집입니다. 그래서인지 사람들이 북적거리는 곳입니다. 본관 옆에 별관도 마련되어 있습니다. 사실 감자탕은 크게 특별한 맛이라기보다는 고기가 ...
3.0,2018.10.14.,"감자탕 (소) 둘이서 먹기 딱 좋다.
라면사리 하나 추가하고 배부르게 먹어서 볶음밥 못 먹음 ㅠ
손님이 많을 땐 직원분들이 ..."
5.0,2018.07.21.,소문날만하군
3.0,2017.11.07.,그냥 그래~찾아가서 먹을만 하진 않아~
2.0,2017.10.02.,"엄청엄청 기대하고 갔는데, 
고기는 좀 질기고.... 국물이 깔끔하긴 했어요 ㅠㅠㅠ 아쉬워요 ㅠㅠㅠㅠ"
5.0,2017.05.08.,감자탕 (소)
