별점,날짜,리뷰
4.0,2025.08.17.,별관으로 가서 웨이팅없이 먹었어요 맛있긴 한데 웨이팅할 정도는 아닌거 같았어요 응대나 서비스는 불친절하다고 느낀건 딱히 없음
2.0,2025.08.15.,그냥 일반 감자탕이랑 비슷한데 저희집 동네가게가 더 맛있다 바로 나와서 국물 먹어봤는데 너무 짰던…. 들어가자마자 뭐 시키거거냐고 제촉하고 테이블도 깨끗하지는 않었던
3.0,2025.08.03.,"성동구 성수동
평점 : 3.3
무난해요. 웨이팅이 항상 길던데 평일 5시쯤 가니 자리가 있어 바로 앉았습니다. 밥집이라기보다는..."
3.0,2025.08.03.,"무난한맛
웨이팅은 ㄴㄴ
가격이 많..."
3.0,2025.07.28.,"감자탕 말고 뚝배기로 먹어보았다 양은 많았음
유명한 감자탕집 맛은 고냥 감자탕맛 특별함은 없다!
그렇다고..."
1.0,2025.07.27.,"진짜..... 사람 줄 완전 길던 곳이라 기대하고 갔는데
세상에 제가 먹은 감자탕중 제일 별로였어요
뼈가..."
5.0,2025.07.20.,바쁜데도 친절하시고 맛도 괜찮았어요.
4.0,2025.07.06.,혼자가면.웨이팅두 없고 좋네요 ㅎ 우거지는 좀 많이짠데 고기가 간이 삼삼해서 좋았어요. 저는 간이 더 덜됐으면좋겠어요~ 직원 아주머니들도.친절하시고 메뉴도.1분만에 나와서 최고입니다. 위생이 그닥이라 4점인데 전 재방문의사.있어요(웨이팅있으면 x)
4.0,2025.07.05.,몇 년 전 서울 성수동에서 처음 식사를 여기서 했습니다. 그때도 부산에서 올라와 완전 새벽에 식사를 했었는데요. 카맵 평점과는 달리 맛있어서 놀랐습니다. 이번에 또 방문했어요. 웨이팅은 여전히 있더라고요....
5.0,2025.06.23.,"첫 한입은 굳이
줄을 서야하나엿지만 먹으면 먹을수록 이뤃게 유명한데는 이유가잇구나 납득이 됨
생각보다 싸고 맛이 조미료없는..."
1.0,2025.05.30.,왜 유명한거지?? 고기 질김 ㅜ 다이어트 용 개노맛 닭가슴살 먹는 느낌 ㅠ 아쉬워라 아쉬워
1.0,2025.05.25.,"감자탕 고기가 너무 퍽퍽해요... 
안에 나물도 거의 없고
볶음밥은 김가..."
1.0,2025.05.23.,"입장하자마자 처음이라 메뉴판 벽지에 붙은거 보려는데
주문뭐하실거냐고 물여보셔서 메뉴좀 보고 말씀드리겠다 했는데
3초만..."
1.0,2025.05.04.,"여기는 관광객 상대로 장사하는 곳으로 변한것 같네요.
20년 전에 와보고 오늘 성수에 약속있어 왔는데 많이 변했네요.
가격은 비싸고 뼈에 살이 별로 없고 우거지는 ..."
3.0,2025.04.07.,"볶음밥 맛있음
위생 좀 별로인듯 그리고 전체적으로 너무 짜요
소스도 짜고.."
1.0,2025.04.01.,"일단 맛이 없음 양은 많음 불청결 불친절
바쁘지도 않은시간에 조선족 아줌마들 싸갈쓰가 바갈쓰에요~
줄..."
4.0,2025.03.29.,근처올일이 있어 들렸는데 역시 맛있네요. 우거지곱배기 양 정말 많습니다. 일반만 시키셔도 충분합니다. 자주 못올거 같아 우거지곱배기 시켰는데 다음에 오면 일반 시킬듯요. 그리고 뚝배기 받침없이 가져다 주셔서 설마했는데...
2.0,2025.03.16.,별관은 본관보다 신경을 안쓰시는건지 바쁜건 알겠는데 너무 불친절하세요ㅠㅠ 맛도 그냥그런..
3.0,2025.02.26.,"내 취향이랑은 거리가 먼 감자탕인데(국물에 깊은 맛이 없음),, 본의아니게 지금까지 한 10번은 온듯

대충 말하자면, 국물이 깊진 않고 맑..."
3.0,2025.02.26.,"많이 안짜서 좋은것같음 주차가능 
괜찮"
4.0,2025.02.16.,"기대한 정도의 감자탕
상당히 맛있던 수제비
기대 이상의 친절함"
5.0,2025.02.15.,"💕서울 감자탕 맛집 1위:: 2025.02 최신 내돈내산 솔직후기💕

✔️웨이팅: 주말 저녁 6시 30분쯤 방문, 40분정도 서서 대기 (캐치테이블X 테이블링X 번호표X 예약X 일행다와야 입장가능, ..."
2.0,2024.12.31.,"맛 평범함 고기가 크고 부드럽긴 하지만 줄서서 갈집은 아님 볶음밥 별루 ㅎㅎ 
일단 공장식 운영인듯 직원 주문미스 많음"
5.0,2024.12.25.,"술만마시면 막차로 꼭 가는ㄱ곳!
수제비 사리가 진짜 맛있아요"
4.0,2024.12.22.,"일요일 21시반에 방문했는데도 15분 정도 웨이팅...
고기가 아주 질이 좋아요~.소문날 정도 ㅇㅈ"
3.0,2024.12.19.,기대했던것보단 평범했고 자극적인 맛이 아닌 구수한 스타일의 옛날 감자탕 맛이에요. 저는 평일 점심 기준으로 30분 정도 웨이팅했는데 회전율이 꽤 좋은편이라 줄이 금방 줄더라구요. 30분 기다려서 먹기엔 괜찮았는데 그 이...
1.0,2024.12.18.,"평범한 감자탕에 못미치는 맛이라고 생각함.
직원들 인성에 문제있음."
1.0,2024.12.05.,1년전에 맛있었던 기억으로 다시 방문했는데 기다리는 줄도 줄어들고 부드러웠던 고기가 퍽퍽해져있고 맛있었던 깍두기가 맛없어졌습니다 그냥 동네 감자탕집가는게 나을수준으로 바뀌었습니다 시끄럽기만하고 벨눌러도 오지도않습니다
5.0,2024.11.29.,감자탕이 다 똑같지 하면서 걍 웨이팅 해봤는데 일단 맛있었음 음식도 빨리 나오고 일하는 직원분들도 많아 필요한거 바로바로 갖다줘서 손님많아도 괜찮았음 외국인 엄청 많음 국물이 계속 술술 들어가는맛 ...
1.0,2024.10.21.,"불친절 위생 안 좋음
과잉친절은 바라지 않으나, 손님에게 화내고 가르치려고 하심. 상당히 기분파이신듯.
혼자 다시 기분 좋아지시니 안 혼내심 ㄷ ㄷ 
(점..."
5.0,2024.10.20.,맛있어요 국물도 리필해주시고 수제비도 찐손수제비로 넣어주시고 볶음밥 별로 들어간 것 없는 것 같은데 맛있어요! 일하시는분 바빠서 그렇지 친절하시구 재미있으세요!!! 생각보다 줄이 금방 줄어들어서 20분정도 웨이팅했어요! 주말 낮4시반 방문 기준이었습니다!!
2.0,2024.10.16.,대기줄에 비해 평범한 감자탕 맛입니다. 착석과 동시에 음식이 나와서 신기했어요. 식당 내부가 엄청 정신없어서 편하게 식사하진 못했습니다.
2.0,2024.10.14.,"국물은 깔끔하고 맛있어요.
고기는 질기고 살도 많이 안 붙어서 먹기 힘들어요
그렇다고 맛있지도 않아요.
볶음밥 먹는 테이블에서 나는 참기름 냄새가 좋았는데 배불러서 ..."
5.0,2024.09.17.,올해 추석 푸드는 너닷! 🥔!!
2.0,2024.09.13.,깻잎이 많을 뿐 그닥 맛있지 않음
3.0,2024.09.13.,고기는 실해요ㅎㅎ특별한 맛은 아닌듯
2.0,2024.08.11.,"매번 웨이팅이 엄청 길어서 너무궁금했는데, 생각보다 평범한 맛이라서 놀랬음. 그냥 감자탕 맛!"
