별점,날짜,리뷰
3.0,2025.09.11.,"주차하기 어렵고
빵사는게 전쟁입니다"
5.0,2025.08.14.,제발저믿고마라고로케 드셔주셔요
5.0,2025.08.06.,평일 9시 조금 넘어서 도착했는데 웨이팅 없고 계산 대기줄만 길었어요. 없는 빵 있을까봐 걱정했는데 다 있었고 품절된 빵도 없었습니다!사람 많아서 불친절하실 줄 알았는데 정말 친절하게 다 해주셨어요🥹엄청 많이 담았는...
5.0,2025.08.05.,두 말이 필요없는 지역 명소
5.0,2025.08.04.,우유푸딩❤️ 진짜 맛있음; 레전드; 명란바게트❤️ 얼려놨던거 후라이팬에 살짝 구워먹으면 극락체험
4.0,2025.08.02.,"토요일 1시반 웨이팅 시작 30분 뒤 입장
내부는 혼돈의 카오스
20가지 넘게 구매해서 5만원쯤 나왔는데 가..."
5.0,2025.08.01.,통팥이라맛있어요
5.0,2025.07.29.,"부추빵, 카레고로케, 찹쌀주먹밥, 미니메아리, 꽈배기 등 샀는데 부추빵이 진심 맛있음
부추전이 빵..."
5.0,2025.07.26.,성심당 빵 최고네용 ㅎㅎ 주차는 근처 공영주차장 가면 자리 널널합니다!
5.0,2025.07.25.,말모말모 주기적으로 가줘야함
5.0,2025.07.23.,가까이 있음 매일 가고 싶어요..샌드위치가 맛있어요.
3.0,2025.07.23.,"입장하고 질서 없는게 너무 혼란스러움
성심당 뒷편건물 지하에 빵보관소 엄청 큰 빵 보관소 있음
정신없어서 무슨빵 샀는지도 기억..."
5.0,2025.07.21.,"솔직히 말 안 해도 다 알지 않나?

* 개인 메모용: 김치찹쌀주먹밥은 오후 2시에 나온다. 최애 메뉴가 의외로 찹쌀주먹밥인 나..."
5.0,2025.07.19.,대전 빵투어~성심당 워낙 유명하여 평일 오전 9시 도착(인천에서 버스로 2시간) 하였는데도 사람들도 많고 다행히 줄은 많이 안 서고 들어가서 여러가지 빵들도 구경하고 저렴하게 구입~마침 M본부에서 촬영을 하고 있어서 그런가 더 복잡하긴 했지만 재미...
5.0,2025.07.12.,"튀김소보로 맛집이지만 튀소는 안먹었어요ㅋㅋㅋㅋㅋ
가성비 좋은 빵집이에요!
대전 갈일 있으면 또 들릴거같아요"
3.0,2025.07.07.,국내 최고의 빵집이라기보다는 최선의 빵집.
5.0,2025.07.07.,성심당은 줄서야하지만 줄 선 시간이 아깝지 않은 빵집이에요ㅠ 성심당을 위해 대전을 갈 가치가 있다고 생각해요! 소보로가 유명하지만 다른 빵도 다 맛있게 먹었어요. 보문산 메아리 (큰 거) 명란 바게뜨 꼭 사드셔보시고 고로케류도 개인적으로 맛있게 먹어서 추천해요! 그리...
5.0,2025.07.06.,본점에 사람 너무 많아서 옆에 위치한 케익부띠끄 들렸다가 망고시루 사서 내려왔네요 ^.^ 성심당 인기는 정말 볼때마다 놀랍습니다. 망고시루 너무 맛있어서 다음엔 다른거 먹어보고싶네요.
5.0,2025.06.28.,처음 방문해봤는데 회전율이 높아 주차도 금방 했고 빵도 금방 사서 나왔어요 매장 내부는 복잡하고 시장통같지만요 ㅜ 빵이 맛있고 저렴해서 대전에 간다면 무조건 들리겠지만 성심당때문에 대전 갈 정도는 아닌듯해요
5.0,2025.06.20.,"24.09.14
25.06.20"
5.0,2025.06.19.,"이만치 삿는데 5만원 나옴
가성비 갑 ㅇㅈ
맛도 평타이상인듯"
4.0,2025.06.18.,"가격도 좋고 맛있어요.

근데 주말 사람 많아서 근처 다른 곳에서 줄 섰다가 건물 앞에서 다시 대기줄..."
5.0,2025.06.15.,십년전에 갔다가 오랜만에 갔다 빵사러 줄을 서야한다는게 아직도 충격적이지만.. 빵은 죄가 없고 직원들은 친절하다
5.0,2025.06.08.,임산부 프리패스 최고👍 임신확인서(또는 산모수첩)랑 신분증 들고 가면 프리패스 및 5% 할인된다.
4.0,2025.06.08.,"대기 줄이 좀 길긴 했지만 생각보다 빨리 빠집니다.  
새기치 하는 개/돼지들도 있으니 잘 보시기 바랍니다. 
직원들이 군데군데 서서 관리를 해줘 크게 ..."
5.0,2025.06.04.,"개맛있음 진짜 1박2일동안 두번 방문
밑에 4개는 다 다른 건물에 위치해있음!!! 참고참고

- 케이크부띠크: 망..."
5.0,2025.06.04.,"말해뭐해요 가성비좋고 맛도 좋습니다.
하지만 수많은 인파로 구매자체가 어렵습니다."
5.0,2025.05.19.,"주차하기 어렵긴한데
가성비가 어마어마"
3.0,2025.05.11.,케이크만 파는 곳이랑 너무 헷갈리네요..토요일 오전 8시 반쯤 가니 줄은 안 서고 들어갔습니다
5.0,2025.05.11.,"매번 대전 방문하면 꼭 들리는 가성비 빵 맛집 ><
갈때마다 사람 속에서 빵 고르는게 힘들지만 그만큼 가성비와 맛 모두 충족하는 빵 맛집, 최근에 샌드위치 정거장이 따로 생겨서 복잡함이 좀 덜해짐, 애플브리치즈 샌드위치 꼭 먹기!!!!! 존맛탱"
5.0,2025.05.06.,"좋은재료로 정직하게 판매한다는게 느껴져요! 빵이 엄청 특별하게 맛있다기보다는 평범한데, 빵 자체가 양이 많고 재료도 푸짐하고, 신제품이 잘 나오는점, 그리고 바르고 곧은 경영이념이 인기비결이지 않을까 싶습니다. 그리도 빵을 제법 많이 담았..."
5.0,2025.04.26.,주차참조요. 2025.4 버전
5.0,2025.04.20.,"역시 성심당은 여전히 맛 좋고, 가격이 착해요.
오늘은 부활절이라고 계산할 때 계란도 챙겨줬어요.
일요..."
