별점,날짜,리뷰
5.0,2024.02.22.,"첫 대전여행으로 왔는데
빵을 별로 좋아하는 편이 아니라 별 기대 안 했지만.... 역시 성심당이 괜히 성심당이 아닌가봐요 갓 구운 빵이 아닌데도 존맛탱이었음... 걍 밥 말고 빵 먹을 걸.. 집으로 돌아와..."
5.0,2024.02.15.,"진짜 맛있음,, 여기 꼭 와보고 싶었는데 후회안합니다 빵 스케일이 다르고 질이 달라요
대전올일 있으면 여기 꼭 들렸다가 갈꺼에요"
3.0,2024.02.05.,성심당 당연히 좋죠 그런데 사람은 물밀듯이 들어오고 줄이 없어서 걍 전쟁터에요 주말은 절대 가지마세요 주말에 가야한다면 오픈런을 하는것밖에 답이 없어요 진짜 사람이 파도처럼 계속 어깨를 치는데 그 와중에 안...
4.0,2024.01.31.,"1.성심순크림빵: 크림이 부드럽고 느끼하지 않으나, 달달한편! 꼭 아아랑 함께드세요! 생각보다 달기도 했고 다른빵도 먹어야해서 1/4만 먹고 패스
🔥2. 이탈리안샌드위치(6000): ..."
5.0,2024.01.24.,"입구바닥이 많이 닳았어요 
얼마나 많은 손님이 다녀간지 반증하는것 같네요~~ 사시사철 항상 붐비는 곳인것 같아요"
5.0,2024.01.21.,케이크가 너무 맛있어요. 먹고나면 또 가고 싶은 빵집입니다. 줄서서 사는데 무슨 말이 필요하겠어요
5.0,2024.01.16.,"사람이 너무 많지만
직원들이 친절하고 계산하는곳이 많아서 빨리빨리 계산가능
평일 낮에도 줄서있음ㅜ"
4.0,2024.01.09.,다른 곳에서 볼 수 없는 아이디어 빵들을 맛볼수 있고 무엇보다도 사람들이 와글와글 몰리는 데서 내 빵 건져먹는 듯한 쾌감이 있습니다
5.0,2023.12.31.,튀김소보로는 전설이다.
5.0,2023.12.29.,"성심당만으로도 대전을 방문하기에 충분한 이유가 된다.
너무 맛있고 가성비넘치고.. 그런데 사람도 너무 많아서 매장 한번 들어갔다 오면 진이 빠진다ㅠㅠ"
5.0,2023.12.27.,너무 너무 맛있어요
5.0,2023.12.12.,그저 빛
5.0,2023.12.11.,"줄은 길었지만 생각보다 빨리 빠집니다.
가격도 저렴하고 맛있어요!"
5.0,2023.12.10.,빵 종류도 많고 빵지순례한다면 꼭 다녀와야 하는 곳이에요. 대전하면 성심당이라고는 하지만 역시나 믿어 의심치 않았던 곳이에요. 진짜 행복 그 자체였습니다!
5.0,2023.12.08.,절 가지세요 사랑해요 성심당❤️
5.0,2023.12.08.,대전시청입니다. 웨이팅 기니 각오하고오셔야합니다
5.0,2023.12.06.,"맛있고, 친절하고, 가격도 합리적이고... 3년만에 다시 찾았는데 모든 부분에서 업그레이드 된 느낌이었습니다. 2층 테라스키친의 식사도 왠만한 음식점보다 낫습니다. 멀리서 성심당만 보고 대전 오셔도 후회 안하실 거라고 생각합니다."
5.0,2023.12.04.,"주차가능해서 좋았구요, 빵도 너무 맛있구! 싸고! 사람이 많았지만 그 안에서 질서가 생겨가지고 나름 쾌적했습니다 ㅋㅋㅋ 애플브리샌드위치 존맛입니다 꼭드세요ㅜ 작은메아리랑 튀소 튀소구마 3개씩 살걸 후회됩니다...ㅠㅠ❤️"
5.0,2023.12.01.,크리스마스 시즌이라 그런지 사람이 정말 무지막지하게 많네용... 일요일 하루종일 줄이 정말 길더라구요! 역시 대전의 자랑 성심당~~
5.0,2023.11.27.,맛있어요
5.0,2023.11.24.,"최고에요,,성심당의 도시 대전! 성심당 하나만으로 재방문하고싶어오"
4.0,2023.11.17.,부추빵 맛있어요! 근데 저녁 먹고 가면 원하는 빵은 다 팔려있는…
4.0,2023.11.16.,"맛있긴한데, 빵에 대해 잘 모르거나 좋아하지 않는 사람은 감흥이 없을 듯 해요."
5.0,2023.11.06.,대전하면 성심당
5.0,2023.11.05.,12시 정도에 오면 이정도의 웨이팅을 경험 가능함. 맛은 그냥 빵임. 큰 기대를 하지는 않길 바람. 튀소도 한번 먹어볼만한 정도의 맛일 뿐.
1.0,2023.11.03.,빵 싼건 알겠는데.. 인간적으로.. 매장 내 인원 제한 좀 하고 동선 정리 좀 해야할듯..
5.0,2023.10.28.,"소문난 잔치집에 먹을거리 최고 많은 찐 맛집 !! 
명란바게트 부추빵 빅매치 !!!"
5.0,2023.10.14.,"역시 맛있고 그냥 미쳤습니다 가성비가 좋아요 
전 빵 안 좋아하는데 첨으로 빵 맛있다 ! 싶었어오 
이것때문에 대전 ..."
5.0,2023.10.07.,대 혜자 베이커리!
5.0,2023.09.30.,맛 있고 친절하고 가격도 저렴 합니다
5.0,2023.09.23.,사람이 엄청 많긴한데 빵은 맛있어요
5.0,2023.09.22.,"전국 빵집 다 발라버리는 ㅎㄷㄷ한 빵집...대전 이외 출점하지 않는 원칙으로
가치를 더하고...노잼도시 대전을 성심당 보유도시로 만든 undisputed 빵집"
5.0,2023.09.15.,운좋게 안 기달리고 바로들어왔어요 너무 맛있어요
5.0,2023.09.09.,케이크가 짱입니다..!
5.0,2023.09.05.,대전의 심장. 가을에는 탑셰프의 리얼 몽블랑
5.0,2023.09.03.,"명란바게트와 튀김소보로 내 인생빵
근데 이거 두개 외에는 아직 맛난 걸 찾지 못함
그치만 이거 두개만으로도 계속해서 방문할 가치 충분"
4.0,2023.09.01.,너무 사람이 많고 유명세로 예전에 맛있던 채소빵 등을 더이상 볼수없어 아쉬움이 남습니다.
4.0,2023.08.22.,본점 맞은편에 있는 성심당이하는 빙수집 옛맛솜씨를 꼭 가세요 성심당은 빵맛집이 아니고 팥 맛집입니다 송직히 빵 자체는 별 세개 인데 팥은 별 다섯개가 맞아요!
5.0,2023.08.18.,"⭐️⭐️⭐️⭐️⭐️

🚗 주차는 성심당문화원이 제일 가까움.

💵 중간

📝 보문산메아리가 내..."
4.0,2023.08.17.,빵 맛은 어디나 있는 제과점과 비슷하지만 가격이 저렴하네요 다만 사람이 너무 많아서 대기가 길어요 ㅠ
5.0,2023.08.15.,대전은 노잼도시가 아님 명란바게트 잠봉뵈르 존맛탱 잠봉뵈르는 대전역쪽에 없드라고요 본점에서 다 쟁기라고~~
4.0,2023.08.09.,"빵 맛있네요. 줄 안서려면 일찍 가세요.
월요일 오전 10시15분에 찍은 사진입니다."
5.0,2023.08.07.,말해뭐합니까 대전은 유잼도시입니다
5.0,2023.08.05.,사람이 정말 많지만 유명한 곳답게 질서있게 정리를 잘해주셔서 어렵지 않게 구매할 수 있었어요
5.0,2023.08.01.,저렴하고 맛있다..
5.0,2023.07.26.,명란바게트 미쳤다... 소금빵 가성비 좋으나 소금크루와상이 더 취향저격 으아 대전의 빛과 소금
4.0,2023.07.19.,사람이 너무 많아서 평일에 가야해요
5.0,2023.07.17.,부추빵 졸라 마싯성
5.0,2023.07.09.,"대전은 성심당이 먹여살리는듯.. 이만한 빵집 진짜 없는거 같아요 수원에서 갔는데도 만족이여
케이쿠보다는 빵이 맛있는거 같긴 해요"
5.0,2023.07.01.,빵이 가격이싸고 맛이좋아요
2.0,2023.06.14.,토요일 점심때 갔는데 웨이팅은 상관없는데 매장 안이 너무 바글바글 혼잡 밀집 그 자체... 걸음 옮길 공간도 없이.. 걍 앞사람이 가면 발맞춰 움직일 수밖에 없는 상황... 한방향으로 가도 모자랄 판에 직원분은 자꾸 양방향으로 꾸역꾸역 들어가시라 안...
5.0,2023.06.10.,너무 맛있어요 또 가고 싶어요
5.0,2023.06.06.,"지나가는길에 들러봤어요~~
성심당 대박!!! 좋아요"
5.0,2023.06.02.,난 잠봉뵈르
5.0,2023.05.24.,"대전 그자체
줄이 미친듯이 길긴 하지만 가성비 맛 미쳤다"
5.0,2023.05.22.,복잡하고 웨이팅이 어느정도 있었지만 맛있음
5.0,2023.05.18.,와 정신없이 고르다 빵을 10만원어치삼 .....  하나하나 다 맛있음!!
5.0,2023.05.18.,"줄을 너무 서있긴 하지만 
계산도 빠르시고 종류도 거의 다 있었습니다
빵도 가격도 ..."
5.0,2023.05.16.,케익이랑 빵파는곳이 나눠져있으니 주의하세요 ㅋ
5.0,2023.05.12.,빵 이렇게 사고 2일 컷 했습니다. 식빵이 진짜 맛있었는데 더 살껄 후회했어요.
3.0,2023.05.09.,줄서서 빵먹어보긴 처음. 딸기시루 먹어봤는데 맛있지만 나는 투썸 스초생이 더 좋음...
5.0,2023.05.04.,사람 댕많.. ㅎㅎ 사랑 많이받은 건강한 빵 같긴했어용
5.0,2023.05.03.,레전드 맛있음 주차가능한데 1시간밖에 안줬어여
4.0,2023.04.18.,"대전의 최고 아웃풋 성심당
굉장히 맛있고 가격도 착함
주말엔 사람이 많아서 ,, 안가는거 추천"
5.0,2023.04.17.,멍멍멍멍멍멍멍멍멍멍멍멍멍멍멍멍멍멍멍멍멍멍멍멍멍멍멍멍멍멍멍멍멍멍멍멍멍멍멍멍멍멍멍멍멍멍멍멍멍멍멍멍멍멍멍멍멍멍멍멍멍멍멍멍멍멍멍멍멍멍멍멍멍멍멍멍멍멍멍멍멍멍멍멍멍멍멍멍멍멍
4.0,2023.04.09.,주말에 웨이팅있고 사람넘많지만 소금빵 못잃어..
5.0,2023.03.13.,"사람 반 ,, 빵 반 ,,
대전의 유잼 스팟답게 사람이 너무 많았지만 은근 회전도 빠르고 빵도 맛있고 가격도 저렴함
초코튀소를 못 사서 미련 뚝뚝 ..은 핑계고 다음에 또 갈 거임"
5.0,2023.02.27.,"튀소구마 진짜맛있음 부추빵은 무난무난
근데 가격이 ..."
3.0,2023.02.16.,가격은 진짜 저렴한데 맛은 기대보다 별로였어요
5.0,2023.02.12.,사람이 많아서 정신 없고 줄 서서 들어가야 하지만 가성비도 좋고 맛있었다!! 특히 앙버터샌드같은거 추천!!
5.0,2023.01.19.,"참치고로케랑 감자인줄 등등 다 맛있었음
작은메아리가 최애. 소금빵도 좋고 튀소 튀구 딸기롤 호두타르트 다 맛있었음"
5.0,2023.01.14.,성심당 너무 맛있어요ㅠㅠㅠㅠ
5.0,2023.01.13.,맛있는데 최고의 맛까지 아닙니다만 가격대비생각하면 최고맞아영
5.0,2022.12.31.,맛없는 빵이 하나도 없음 진짜ㅠ 특히 샌드위치는 꼭 하나씩 집으시길
5.0,2022.12.27.,소굼빵이 1200원이라길래 몇개 집어 봤어요
5.0,2022.12.22.,"대전의 심장이라는 말이 과언이 아닌게, 대전 시내 가면 모두가 똑같은 종이 가방을 들고 다니는 모습을 볼 수 있습니다 ㅋㅋㅋㅋ"
5.0,2022.12.21.,사랑해요
5.0,2022.11.21.,맛있고 저렴하다! 평일에도 사람 많음
5.0,2026.07.16.,"성심당은 말모 말모
7월 주말에 방문하니까 웨이팅 20분 정도 했음
안내자분들 친절하시고 우산도 있어서 좋음
무..."
4.0,2026.07.12.,"주말은복잡아서중구난방장날분위기
케익은비싸고빵은싸고"
5.0,2026.07.08.,또 가고싶당
5.0,2026.07.06.,"20여분만에 입장,,, 착한가격에"
2.0,2026.07.04.,ㄹ 먼
1.0,2026.06.16.,"6/16 오전 치아바타 탔슈. 탄맛나유.🤕

굽기정도도 확인하고..."
5.0,2026.05.26.,망고를 어디까지 넣어주시는거에효...??? 양 미쵸따 🤤🤤 실하니 아주그냥 입안에 망고 가득 행복 💛 성심당 갈려고 대전 여행 했는데 오길 잘했다 ㅎㅎ 성심당 짱 👏
1.0,2026.05.26.,"2시간 서서 기다렸습니다. 
이런게 문화라 한번 경험해봤습니다. 
다신 안 가겠습니다."
5.0,2026.05.24.,갓심당
1.0,2026.05.16.,"맛은 좋습니다
그런데 직원 중 몇몇은 불친절하네요
사람 많아 치이면서 일하는거 많이 힘들겠지만
안그래도 사람많아 소리도 안들리는데 목소리는 ..."
5.0,2026.05.13.,아 대전 사람들 부럽다
5.0,2026.05.05.,정진이 답사하여 먹수지리적으로 완벽한 곳 (上)
5.0,2026.05.03.,넘 맛있어요!!
1.0,2026.04.30.,"웨이팅 줄 긴건 그냥 다들 새치기도 안하고 줄 잘 서서  그렇다치는데 본점 안에서가 더 질서를 잘지켜야되지않아요? 밖에서 줄 잘서면 뭐해요 안에서 다 새치기하는데
진짜 무질서의 끝을 보고 왔네요 오늘 매장 내에서나 줄 잘 세워요 고..."
5.0,2026.04.24.,성심당은 믿고 먹어도 됨 ㅎ
5.0,2026.04.15.,"이사 오기 전에는 소문만 들었는데, 3월에 대전으로 이사온 후로는 성심당찐팬이 되었어요. 맛도 좋고 가성비도 좋고~성심당 최고입니다^^"
5.0,2026.04.12.,최강삼성 승리하리라....
1.0,2026.04.11.,"다른건 둘째 치고 빵써는 알바분 눈치 엄청줌..
빵이 많았던것도 있는데 한개를 사던 여러개를 사던 그 만큼 값을 지불했기 때문에 그만한 서비스를 받는게 맞다고 생각함. 근데 안써는 빵 두개 빼고 한 봉지 드렸는데 안..."
5.0,2026.03.25.,대전의 전부. 빵을 이렇게 사도 돈이 이만큼 밖에 안 나오는게 맞나 싶어서 놀라는 곳.
5.0,2026.03.21.,"대전 갈때마다 꼭 방문하는 맛집 !!
가격들도 너무 착하고 빵도 너무나 맛있어요 👍👍

•강추메뉴💓
튀소구마🍠- 제 ..."
5.0,2026.03.16.,다음에 꼭 또 먹을 것: 순수롤 다른 맛
5.0,2026.03.13.,"평일 저녁방문
수월하게 샀네요 
가격도 좋고 맛도 좋고^^ 담날 먹으니 더 맛났네용"
5.0,2026.03.09.,"본점이 빵 종류 훨씬 많아서 좋아요
대전 갈 때마다 들려야겠음"
5.0,2026.03.04.,"3회차 방문 -> 최근 일요일 오전 11시 기준 웨이팅 50분했음. 성심당은 최고임,,, 그리고 무조건 본점 가야함
첫번째 사진 : 2..."
5.0,2026.02.26.,리뷰 2500개 첨봐유 ㅋㅋ 색다르기보다는 보장된맛+내어릴적가격으로 집앞에있으면 좋겠는 빵집
2.0,2026.02.24.,"소문난 잔치집에 먹을게 없다. 란 말이 딱 맞는 듯..
왜 이렇게 줄서서 먹고 왜 이렇게 매스컴에서 띄어주는지 모르겠음. 
그냥 빵집 ..."
5.0,2026.02.19.,"이거먹으려고 출근하다싶이 준비해서 왔지만 후회는 없어요 특히 주먹밥? 그 고기먹고 먹는 볶음밥 누룽지 마냥 빠작하고 간이 짭쬬롬해요 
..."
4.0,2026.02.19.,요번에 말차신상 맛있음!
4.0,2026.02.19.,"대전 오면 꼭 가야하는 대전의 자랑 성.심.당!!!!
맛도 좋고 가격도 괜찮음. 줄서서 기다리는 보람이 있음.
근데 딸기 시루나 이런거 솔직히 말하면 좀 별로..."
5.0,2026.02.17.,왜 성심당이 인기가 많은지 알 수 있었어요. 프랜차이즈 빵집에서는 맛볼 수 없는 맛이 있어요. 엄청 맛있었고 또 가고 싶어요.
5.0,2026.02.16.,"튀소보단 말차튀소 
가격 좋고 맛 좋은 성심당입니다"
5.0,2026.02.14.,설명절이라 평소보다 줄이 길지는 않은데 그래도 사람들이 많네요
4.0,2026.02.12.,빵은 정말 맛있었지만 부족한점은 사람이 끊임없이 들어가서 복잡하다는것입니다. 몇명은 들어가고 기다리고를 했으면 좋겠습니다.
5.0,2026.02.11.,"간지 좀 되기는 했지만,,딸기빙수에 딸기가 진짜 맛있었다🍓"
4.0,2026.02.09.,딸기 시루 구입하는데 아침 6시부터 2시간 기다림. 맛보다는 득템하는 기분으로 양은 어마하더라 며칠을 먹었으니까 ㅎㅎ
5.0,2026.02.07.,이 가격에 이 맛 못 따라옵니다.
5.0,2026.02.04.,"요즘 인기인 시루도 맛있지만 성심당은 역시 빵이 근본입니다 보문산메아리,명란바게트,튀소, 그리고 김치주먹밥도 완전 맛있음 ㅎ 순수롤도 최고"
5.0,2026.02.03.,"말차튀소 비주얼만 참으면 짱맛!!
직원 분들 항상 친절하세요♡"
5.0,2026.02.01.,저는 녹차 시루가 더 맛있었어요
3.0,2026.01.18.,"이것만으로 1점을 주고싶진 않아서 3점 남깁니다.
제가 구매한 것은 : 딸기요거롤, 말차롤, 튀소류 총 9개, 메아리빵, 딸기요거트빵, 명란바게트, 마들렌 등 다양한 빵을 샀고 다른건 만족했는데요.
..."
5.0,2026.01.17.,"맛도 5점! 분위기도 5점!
정말 맛있고, 1번 더 가고싶다.
이런 빵집은 처음이다"
5.0,2026.01.08.,"평일에 갔는데도 줄슴..주말엔 생각도하기 싫네여
성심당 마을에 온것처럼 지나다니는 사람들
다 성심당 쇼핑백 ..."
5.0,2026.01.07.,대전 사람들 부러워지는 빵집. 케익 구매하러 가야하는데 엄두가 안 남.. 시루 케익 도전해보고 싶다..
5.0,2025.12.28.,"평일 아침 9시 매일 점심 저녁 먹을 빵사러옴
주말 및 공휴일에는 안감 줄서는데 ..."
5.0,2025.12.21.,"말차 크루와상 너무 맛있었어요.
다음엔 말차딸기시루 먹으러 와야겠어요!
12/17(수) 주차장까지 줄 길게 이어..."
5.0,2025.12.21.,"빵 대기시간 11분 정도 걸림(주말 40분 ~ 55분), 양산 비치해둬서 너무 나이스, 밖에 안내직원은 더울 듯요 넥 선풍기라도,"
3.0,2025.12.20.,"와 솔직히 잘 모르겠음
빵은 맛있고 저렴한데, 무슨 길바닥 시장통인지
줄이 꽤 길어도 빨리빨리 빠지는 느낌인데.. 이게 좀 문제인 것 같음
매장안에 사람이 ..."
5.0,2025.12.17.,평일 수요일에 갔는데... 줄이 진짜진짜 길었어요 임산부 프리패스 아님 못갈거 같아요ㅠ 안에 정신 하나도 없으니 미리 살꺼 정해서 사세요 대전은 성심당💫
5.0,2025.12.14.,"진짜 대전 갈때마다 꼭 방문하는 빵 맛집입니다. 
가격도 저렴하고 빵도 맛있어서 너무너무 애정하는 빵집이에..."
5.0,2025.12.05.,"사람이 정말 많지만 조금만 기다리면 생각보다 빨리 입장할 수 있음
선물용 빵이 잘 마련되어 있어서 대전 갈 일 있으면 방문하기 좋음!!"
5.0,2025.12.01.,천국이 아닐까?
5.0,2025.12.01.,평일 저녁엔 줄 안 서고 바로 입장해요~ 잔뜩 샀는데도 2만 원이라고 해서 신기했습니다.
5.0,2025.11.24.,"솔직히 빵은 좀 내용물에비해 가성비 있다?이정도고 
시루가 진짜.존맛탱임 ㅠ특히 안녕 크레페 이거 너무마싯음
빵하나도 안사고 저거사온게 대전가서 젤..."
5.0,2025.11.24.,카프레제 샌드위 ㅣ 맛있음
5.0,2025.11.20.,교수님이 사와주셨는데 완전 바삭하고 맛있네요^^
5.0,2025.11.18.,"말뭐,,존맛탱 줄서는게 힘들깅해여"
4.0,2025.11.12.,"마라고로케
이거 첨 먹어봤는데
으악~~!!
너무 짜요!..."
4.0,2025.11.08.,"아까 분명히 7번으로 달라고 했고 결제 내역도 10,800원으로 맞게 되어 있는데 집에 와서 보니까 안에 전부 다 팥이더라고요 ㅠㅠ
긴 줄을..."
5.0,2025.11.07.,"성심당 가면 꼭 먹는 애플바질잠봉, 야끼소바빵♡"
3.0,2025.11.02.,"휴일.성수기.행사날  다 피하세요 
엄청난 인파 헬인듯
겨우겨우 사갖고 갑니다"
5.0,2025.11.01.,"다 아는 곳~♡  빵은 상품수준대비 정말 쌉니다.
빵이 다양하지만 화려한 데코가 많은 빵은 없음.
케잌부티끄는 손발이 척척맞는 기계사람이 있는 듯 주문부터 마무리까지 깔끔한 동선에 놀랐음"
4.0,2025.10.26.,"맛 가격 모두 훌륭해요..!
다만 사람을 매장 규모에 비해 너무 많이 받아서 빵 고를 때 너무 힘들어요 ㅜㅜ 사람이 다닥다닥 붙어서 다른 사람 쟁반에 이..."
3.0,2025.10.20.,"2025.10.17 부추빵, 고로케(참치/카레/낙지), 작은메아리, 찹쌀도넛, 해바라기, 크루아상
장점: 합리적인 가..."
4.0,2025.10.20.,"부추빵 맛있어용
소금빵은 버터의 풍미가 차원이 달라요"
5.0,2025.10.19.,가성비와 맛이 균형이 잘 맞아서 매번 대전까지오게되... 웨이팅은 좀 지옥이에요. 안에서도 사람 미어터지구요
5.0,2025.10.13.,"'딸기시루' 라는 표현이 딱입니다 ㅋ
딸기반 쵸코케잌 반
사진에 메리크리스마스 데코는 개인적 소품 얹은거고요
보문산 메아리..."
3.0,2025.10.09.,"빵은 맛있는데
과일시루가 기대이하에용.. 빵이랑
크림이 너무 맛없음 ㅠ"
5.0,2025.10.07.,"지인들이 사다준거만 먹다가
드디어 와본 성심당!!

말차  가격 비싸..."
4.0,2025.10.03.,대전에만 있다는게 최대 단점
4.0,2025.10.02.,점수 낮게 주는 ○○○○은 뭐니.. ㅋㅋㅋㅋ
1.0,2025.09.27.,초코렛종류방이 한종류도 없음..
4.0,2025.09.25.,내부 냉방이 좀 잘 안 되어 있어서 힘겹긴 했는데 그래도 만족스러웠어요.
5.0,2025.09.23.,"평일 웨이팅: 밖에서 대기 7~8분
주차: 만원 이상 구매시 한시간 무료..."
5.0,2025.09.21.,헤헵 빵을 그렇게 많이 샀는데 2만원! 성심당의 사랑을 잘 보고왓습니다!💕💕 최고(영상은 대전역점)
5.0,2025.09.16.,화요일 낮 12시반쯤 방문했는데 십여분 대기하고 구매완료~ 확실히 프랜차이즈 빵집들보다 저렴하고 맛있네요
5.0,2025.09.13.,"대전의 자랑이자 명물이자 문화.
가성비든 맛이든 GOAT 그 자체.
손님들의 예의는 전국 최하."
5.0,2025.09.11.,"+주말 11시 본점, 부띠끄, 샌드위치 다돌면 1시간소요
재구매빵: 무화과크루아상, 아몬드크루아상, 명란바게뜨, 크리미튀소,초코튀소,빅매치
+..."
5.0,2025.08.29.,"가격 저렴한데 맛도 있고, 내용물도 풍성하니 너무 좋아요. 오래오래 영업해주세요"
5.0,2025.08.24.,"✅ 솔직 후기

대전은 성심당 없으면, 시체라는 말이 괜히 있는게 아니다. 
대전 시내가 대부분 ..."
5.0,2025.08.16.,"성심당은 단순한 빵집을 넘어, ‘대전의 상징’이라고 불릴 만큼 특별한 의미를 가진 곳입니다. 이번에 직접 방문했을 때 느낀 건, 단순히 빵 맛만이 아니라 분위기, 서비스, ..."
3.0,2025.08.14.,"튀김소보루랑 고로케류는 맛있음 나머지는 아주아주 평범함... 베스트셀러인 작은 메아리도 너무너무 평범한 퀸아망이었음
명란바게트도 특별히 맛있지 않았음 오히려 다른 빵집들에 비하면 맛..."
5.0,2025.08.10.,여전히 맛있어요! 임산부 프리패스로 이용했는데 빵을 두 번 고르고 결제를 두 번 했었습니다. 첫 번째 결제할 때에는 임산부할인 받고 온누리상품권 결제를 했는데 두 번째 결제시 임산부 할인 5%와 온누리 상품권 중복이 안된다고 안내...
5.0,2025.08.07.,"대전인들은 잘 안 먹는다던데 왜 난 맨날 먹고싶지??
이번 생일에도 망고시루 무조건 먹을거에요 
진짜..."
5.0,2025.07.29.,"국내한정으로 보자면 올타임 no1빵집인건 거의
대부분 인정하실듯.... 길게쓸말이없다 ㅎ..."
4.0,2025.07.24.,웨이팅이 있지만 생각보다 빨리 줄고 빵 박물관 온 거 처럼 볼거리로도 가볼만하다고 생각합니다
5.0,2025.07.23.,판매 제한이 걸린 데는 이유가 있습니다... 망고롤을 사십시오... 그리고 빵만 사더라도 꼭 보냉백을 구입하십시오.... 33도 무더위에 어떻게 살아돌아왔는지 기억이 안 나지만 나중에 쓰기 개좋아보여서 두 개 사왔는데 너무 기대됩니다 전 망고롤을 사고 집안의 자랑이 되었습니다
5.0,2025.07.18.,성심당때문에 대전에서 살고 싶어여...🥺
5.0,2025.06.03.,"평일에 가면 줄 없이 살 수 있음
근데 밖에 줄은 없어도 안에는 사람 바글바글함"
2.0,2025.06.01.,"주말에  와이프랑 딸이 빵을좋아해서 일부러 아침일찍 방문했습니다
8시오픈에인가에   9시쯤 도착했는데도  많은 사람들이 줄을서있네요..
우리나라사람들이  빵을 이리좋아했나하는 생각이..."
5.0,2025.05.30.,망고시루 맛있어요
5.0,2025.05.26.,"튀소 무척 싸고 맛있어요.
많이사서 집가서 나눠먹기 국룰"
5.0,2025.05.25.,믿고가는 성심당! 직원분들 센스 무슨일이죠 ㅜㅜㅠ 다시 또 가고싶어요
4.0,2025.05.22.,"와 평일날 오후에 가서 그나마 대기줄 안서고 들어갔어요 근데도 매장안에 사람이 ㄷ ㄷ ㄷ ㄷ 
빵은  종류는 평범했지만 가격이 착하고 맛도 좋았습니다"
5.0,2025.05.22.,바쁜와중에 친절하게 응대해주셔서 기분이 좋았습니다. 빵도 맛있었구요 다만 방문객들의 무질서와 짜증 그리고 끼어들기로 인해 기분이 좀 나빴습니다.
5.0,2025.05.19.,"사람 많아 정신없으나 맛과 가격은 최고

일요일 오..."
2.0,2025.05.18.,"딸기양은 진짜 많은데
빵도 맛없고 크림도 느끼해요...
이렇게까지 인기 많은 게 신기..."
1.0,2025.05.12.,명란바게트에서 비닐이 나왔습니다. 명란 짤주머니에서 나온 것 같은데 위생 관리에 더 신경을 쓰시길 바랍니다.
5.0,2025.05.10.,맛있고 가성비 좋아요
5.0,2025.05.06.,대전 갈때마다 들리는곳 맛있어요
5.0,2025.05.04.,좋아요
4.0,2025.05.02.,맛있고 다 좋은데 왜 이렇게 무질서한지 모르겠습니다. 차라리 한 줄로 빵을 사면 이해가 되는데 자유롭게 알아서 하라고 하니 너무 혼란스럽네요.
4.0,2025.04.30.,"기다리는게 힘들어 별하나 아이들이 정말 좋아해요
근처 살지만 그래서 더 오기. 힘든 곳! 😹"
5.0,2025.04.28.,"그냥 솔직히 말해서
가격이 개 쌉니다. 
빵은 튀소, 명란바게트, 야끼소바빵 이정도 구매했는데 웨이팅이 있긴 하지만 충분히 기다릴 정도 수준의 빵이..."
5.0,2025.04.28.,"평일 오전에 가면 웨이팅 없어서 여유롭게 빵 고를 수 있어서 좋고, 김치찹쌀주먹밥만 50만개 먹고싶어요😭😭"
5.0,2025.04.22.,아 단호박 빙수 제발 먹지 마세요 제발요
5.0,2025.04.18.,대전 출장올때마다 자주 방문. 유명한 만큼 가성비 좋고 빵 퀄리티 좋다.
3.0,2025.04.12.,맛3/가격4/양5/친절3
1.0,2025.04.11.,"딸기 케익인데 이런걸 먹으라고 만든건가요?
한심하다."
4.0,2025.04.08.,"가성비 좋은 성심당 빵들은 추억의 맛이 나는데요~🥖🍞  7번 삼총사 세트는 가성비 좋은 선물세트로 딱 이더라고요~🍞🥯 부추빵 2개, 튀소구마2개, 튀김소보로2개가 박스가득 묵직하게 들어 있어요~😍부추빵은 다진 부추와 다짐육,그리고..."
5.0,2025.03.28.,"(주말 기준) 바로 옆 <성심당 케잌부띠끄> 보다는 대기줄이 훨씬 짧습니다. 여기도 회전율이 무지 빠르니, 생각보다 빠른 입장이 가능해요. 단지, 내부 들어가면, 자율 쇼핑이라, 매우 혼..."
5.0,2025.03.10.,"부띠끄 최애: 순수롤 ,망고시루
빵집 최애: 명란바게트, 튀소구마, 보문산 메아리,작은메아리
샌드위치 정거장 ..."
1.0,2025.03.08.,"주말이 문제인지 모르겠지만 최악임...
일단 줄 긴거야 이해하는데 여기는 샌드위치 줄 어디는 무슨줄 줄서는 것도 물어물어 찾아가야함.. 문제는 입장해서임 안은 걍 도떼기시장판임... 관리도 안되고 애들이 빵 주물럭..."
5.0,2025.03.03.,"다 견뎌 내시는분이... 최고가 아닌....
정말 여기서 일하는분들이 대박인곳....

..."
1.0,2025.02.28.,"주차장 할인이 안됩니다
최대 2시간까지로 알고 있었습니다만

성심당 전용주..."
5.0,2025.02.27.,"좋아요..사람도 많고
빵도 맛있어요 가성비 좋은거같아요
그런데...
..."
5.0,2025.02.23.,"저번에 빵건물 길어서 못갔기 때문에 이번에 빵부터 감
10시반에 도착해서 12분 기다려서 들어감 이것저것 많이 샀는데 3만원 좀 넘음
그다음에 케잌부띠크 가려 했으나 웨이팅줄이 미쳐서 포기하고 ..."
4.0,2025.02.17.,아 성버지...  이제야 깨달아요
5.0,2025.01.25.,성심당 부추빵과 딸기케이크.... 거의 그냥 생딸기를 쌓아올린 듯한 느낌. 맛있어요!
3.0,2025.01.20.,줄이 길어도 너무 길어요
